Page ID,Page name,Disclaimer,Amount spent (UYU)
225968600759645,Andrés Lima,Andrés Lima,≤100
860395507438977,Compromiso con el Cambio,Compromiso con el Cambio,≤100
103988995047541,Diputada Nancy Nuñez Soler,Nancy Nuñez,≤100
308762172579887,Rodrigo Goñi Reyes,Rodrigo Goñi Reyes,≤100
100492222711808,Somos Todos Uruguayos,Somos Todos Uruguayos,≤100
721629447857727,567 El Espacio,Partido por la Victoria del Pueblo - Espacio 567 - Frente Amplio,≤100
105054722621103,Comisión Pro UVU,These ads ran without a disclaimer,≤100
2332750643467917,Yamandú Costa,Espacio 2040,≤100
316246769083069,Corruptos Radio,Corruptos Radio,≤100
100570355996366,raquelcalue,These ads ran without a disclaimer,≤100
2229936167288652,Juan Sartori,Equipo Juan Sartori,≤100
530640683655093,President,These ads ran without a disclaimer,≤100
