Page ID,Page name,Disclaimer,Amount spent (XCD)
486723854867439,MYUPP,United Progressive Party,124
203239449860143,Harold Lovell,United Progressive Party,≤100
1451898645041985,Gaston Browne,The Antigua & Barbuda Labour Party (ABLP),≤100
64075711205,Antigua & Barbuda Labour Party,The Antigua & Barbuda Labour Party (ABLP),≤100
698379307000668,Democratic National Alliance - Antigua and Barbuda,Democratic National Alliance,≤100
107952221023207,Gladys Potter the Right Choice for SJRS,United Progressive Party,≤100
68793499001,UNICEF,UNICEF with Facebook Ad Credits,≤100
109366510875,Chaneil Imhoff,Chaneil Imhoff,≤100
44846920403,Dean,Athill Dean Jonas,≤100
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100
