Page ID,Page name,Disclaimer,Amount spent (VND)
105899765783316,Đơn nguyên Mắt - Bệnh viện đa khoa TTH Vinh,Bệnh viện đa khoa TTH Vinh,114017
116526318036371,Khám sức khỏe & tầm soát ung thư - Bệnh viện đa khoa TTH Vinh,Bệnh viện đa khoa TTH Vinh,112000
112611731763046,Bệnh Viện Đa Khoa TTH Vinh,Bệnh viện đa khoa TTH Vinh,102015
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,26904
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,16416
111831663772285,BOMvn,BOMvn,10396
1507429892822619,BOM Money,BOM Money,9776
108376414976742,NKN Hà Nội,These ads ran without a disclaimer,1008
105951195472249,Xu Hướng Đầu Tư 4.0,These ads ran without a disclaimer,1008
100338625893215,Finatics,These ads ran without a disclaimer,≤100
378454888947214,Roxtec Group,These ads ran without a disclaimer,≤100
