Page ID,Page name,Disclaimer,Amount spent (TWD)
602353113208382,台灣法學基金會,財團法人台灣法學基金會,≤100
112324530674892,中時新聞網 房產頻道,時報資訊,≤100
436202956432960,Technews 科技新報,Technews 科技新報,≤100
110858134884421,楊仲傑 潭陽里里長,仲傑楊,≤100
1743825042576235,楊文科,楊文科,≤100
449156429152075,麻吉理財顧問公司,黃詩凭,≤100
100506478473780,公視主題之夜 SHOW,公視主題之夜SHOW,≤100
230776738922933,顏蔚慈,琇雯顏,≤100
100573838902360,SHES 環保衛生棉,SHES環保衛生棉,≤100
101176989480437,九槍 And Miles to Go Before I Sleep,九槍 And Miles to Go Before I Sleep,≤100
368397373312842,游顥,游顥,≤100
101718182459153,天秤座戰士,Companionship Digital,≤100
107048263999185,百面科技顧問,述信蔡,≤100
593374924100942,經濟民主連合,社團法人經濟民主連合,≤100
106118168971467,債務人權益協會 扣薪 協商 更生 清算,傢宇 吳,≤100
2199675410320212,台灣制憲基金會 TNC,台灣制憲基金會 TNC,≤100
810120492410745,全國教育產業總工會,全國教育產業總工會,≤100
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,≤100
603411289733430,黑體文化,傑娣龍,≤100
106937704195905,AFA 專注籃球訓練,These ads ran without a disclaimer,≤100
103993244913942,Milly & Sissy 台灣,Stephanie Hsu,≤100
335544036485779,經濟部,經濟部,≤100
1992951864115792,周柏吟,柏吟周,≤100
276861822357066,高金素梅(吉娃斯．阿麗),智葟 陳,≤100
1501887220103594,台灣女人連線．台灣女人健康網,台灣女人連線,≤100
100195379426027,愛德華先進科技 Edwards Technologies Limited,愛德華先進科技 Edwards Technologies Limited,≤100
120869137965597,SEMI 國際半導體產業協會,SEMI 國際半導體產業協會,≤100
1603472716564539,五倍創意 vxdesign,五倍創意股份有限公司,≤100
128818803902,兩岸犇報,兩岸犇報,≤100
1386886608306823,休時納工時朝九晚五榮耀聯盟,休時納工時朝九晚五榮耀聯盟,≤100
115255733188288,李伯利-台南市議員候選人,Po Li,≤100
171271809554883,ViewFinder,ViewFinder,≤100
110948444878199,你的好閨蜜 蔡雅藍醫師｜恆悅美學牙醫,你的好閨蜜 蔡雅藍醫師｜恆悅美學牙醫,≤100
218735308146236,衛城出版,衛城出版,≤100
1847777185521418,放言 Fount Media,放言科技傳媒股份有限公司,≤100
622028857838106,吳琪銘,These ads ran without a disclaimer,≤100
521176024619313,花輪哥,傑齊 黃,≤100
1666902633528033,桃園市政府青年事務局,桃園市政府青年事務局,≤100
1645501069043806,科科性別,國立高雄師範大學,≤100
155906881874882,涂權吉市議員,權吉涂,≤100
180903242083235,台灣動物平權促進會 TAEA,台灣動物平權促進會 TAEA,≤100
299438037147212,王宥忻財富女神,These ads ran without a disclaimer,≤100
102348188160887,時空筆記,These ads ran without a disclaimer,≤100
186034394769383,國泰人壽,These ads ran without a disclaimer,≤100
227521757837659,金城更新 許燕輝,許燕輝,≤100
195959880437203,新北市議員白珮茹,新北市議員白珮茹,≤100
224048024739982,段樹文,段樹文,≤100
107982601574746,書評書目Taiwan Review of Books,書評書目Taiwan Review of Books,≤100
1600694340206781,桃園市非營利組織發展中心,桃園市非營利組織發展中心,≤100
112571907179969,玩霸教育,思揚 蘇,≤100
103032645529885,菱傳媒,菱傳媒,≤100
112324530674892,中時新聞網 房產頻道,These ads ran without a disclaimer,≤100
1799434356968876,醫師立委邱泰源,泰源 邱,≤100
100919304770294,開根好 SquareGood,開根好 SquareGood,≤100
1374723796115345,Glashütte Original,These ads ran without a disclaimer,≤100
397486643273,OB嚴選,These ads ran without a disclaimer,≤100
101845848873882,思雅閣,These ads ran without a disclaimer,≤100
7783116506,Animals Asia,These ads ran without a disclaimer,≤100
