Page ID,Page name,Disclaimer,Amount spent (CAD)
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,3810
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Sussex Strategy Group,731
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,481
6695079125,TD,TD Bank Canada,374
1097840090260804,National Police Federation,National Police Federation,299
54125409458,Oxfam-Québec,Oxfam-Québec,284
177741812241442,SCFP-Québec,le SCFP,282
163336718421,PSAC - AFPC,PSAC - AFPC,239
105754167560390,Sumofus Canada,SumOfUs,205
115835521825983,UNHCR Canada,UNHCR Canada,181
150435931672156,Élections Québec,Élections Québec,175
106917558391358,Alliance Nouvelles voies,Pathways Alliance,169
156235841087715,FTQ,FTQ,155
187805263715,RÉZO,RÉZO,153
256967407720183,LEO,Léger,153
233017897569896,Emplois en régions,Emplois en régions,140
214866875236330,PROMIS,Promis Immigration,130
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,130
200948603252723,Ville de Laval,Ville de Laval,123
19750184960,Greenpeace Canada,Greenpeace Canada,121
1533253713597302,Elisabeth Léger,Elisabeth Leger,111
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,110
112554280322795,Kivalliq Hydro-Fibre Link,Kivalliq Hydro-Fibre Link,107
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,104
6319213302,Heart & Stroke,Heart & Stroke,≤100
163336718421,PSAC - AFPC,PSAC-AFPC,≤100
107670711947328,Only One CA,"Only One, Inc.",≤100
141646062556362,Société de l’arthrite du Canada,Société de l’arthrite,≤100
170302253034818,Conseil québécois de la coopération et de la mutualité,Conseil québécois de la coopération et de la mutualité,≤100
211536155525838,ICI Estrie,ICI Estrie,≤100
53321777320,Coeur + AVC,Coeur + AVC,≤100
116568687987919,No Merger,No Merger,≤100
113305766875943,SIDE-Sommet international de l'écocitoyenneté,SIDE-Sommet international de l'écocitoyenneté,≤100
109045051805492,Made The Canadian Way,Canadian Energy Centre,≤100
114849617772737,Care2 Canada,Press Pause Collective,≤100
1490941977666347,Association de l'aluminium du Canada,Association de l'aluminium du Canada,≤100
1459978440906128,Office des personnes handicapées du Québec,Office des personnes handicapées du Québec,≤100
264035282685,"Commission des normes, de l'équité, de la santé et de la sécurité du travail","Commission des normes, de l’équité, de la santé et la sécurité du travail",≤100
205618326248365,Trajectoire Québec,Trajectoire Québec,≤100
362051477864388,Bureau d'audiences publiques sur l'environnement,Bureau d'audiences publiques sur l'environnement,≤100
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,≤100
633812813408377,Elections Canada,Elections Canada,≤100
1590219921201770,Élections Canada,Élections Canada,≤100
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,≤100
1530293140634544,"No Options, No Choice","No Options, No Choice Project",≤100
117109432079,CAMH Foundation,CAMH Foundation,≤100
168973503131279,Mission Old Brewery,Mission Old Brewery,≤100
272357666146552,PSAC National Capital Region | Région de la capitale nationale de l'AFPC,PSAC National Capital Region | Région de la capitale nationale de l'AFPC,≤100
107385241806,Plan International Canada,Plan International Canada,≤100
1612384305678522,ACEF de Laval,ACEF de Laval,≤100
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,≤100
111008794934816,Valérie Schmaltz - députée de Vimont à l'Assemblée Nationale,JOSEPH EL-HAJJ,≤100
471020985450,ICI Saguenay–Lac-Saint-Jean,Radio-Canada,≤100
1547351742002843,Recovery Capital Summit- Overcoming Addiction,Giuseppi Ganci,≤100
39315431246,Fair Vote Canada/Représentation équitable au Canada,Fair Vote Canada/Représentation équitable au Canada,≤100
1431603483720909,Fondation de l'Institut universitaire en santé mentale de Montréal,Fondation de l'Institut Universitaire de Santé Mentale à Montréal,≤100
226135530782200,ICI Gaspésie-Les-Îles,Radio-Canada,≤100
143249880633,World Animal Protection Canada,World Animal Protection Canada,≤100
101254104704365,ProEcolo,ProÉcolo,≤100
174000851080,Centraide Québec et Chaudière-Appalaches,Centraide Québec et Chaudière-Appalaches,≤100
