Location name,Amount spent (HUF)
Baranya County,87036
Borsod-Abaúj-Zemplén County,101486
Budapest,578376
Bács-Kiskun County,98818
Békés County,64186
Csongrád County,111526
Fejér County,116664
Győr-Moson-Sopron County,96267
Hajdú-Bihar County,96828
Heves County,63236
Jász-Nagykun-Szolnok County,69091
Komárom-Esztergom County,58337
Nógrád County,36446
Pest County,254375
Somogy County,58040
Szabolcs-Szatmár-Bereg County,106715
Tolna County,49654
Unknown,≤100
Vas County,64681
Veszprém County,67092
Zala County,66398
