Location name,Amount spent (PYG)
Alto Paraguay Department,13378
Alto Paraná Department,480164
Amambay Department,58364
Asunción,417642
Boquerón department,128502
Caaguazú Department,225159
Caazapá Department,136981
Canindeyú Department,73628
Central Department,1607501
Concepción Department (Paraguay),78127
Cordillera Department,113978
Guairá Department,69993
Itapúa Department,195944
Misiones Department,97181
Paraguarí Department,77209
Presidente Hayes Department,33928
San Pedro Department,129313
Unknown,10394
Ñeembucú Department,52626
