Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
532962446729390,Australian Families,Department of Social Services,6659,49
102329728050606,Yes23,Yes23,4620,96
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,3208,292
334563333634959,Australian Government Department of Education,Australian Government Department of Education,2788,7
119271104477423,Save Your Local Pharmacy,The Pharmacy Guild of Australia,2489,48
104180525925926,Fair Australia,Advance Australia,1532,29
1776727752614025,Glencore,Glencore Australia,1104,13
528169690561801,Cameron Caldwell,Liberal National Party of Queensland,877,8
160054227468,World Vision Australia,World Vision Australia,857,9
49453745631,Amnesty International Australia,Amnesty International Australia,801,25
92824008332,Plan International Australia,Plan International Australia,795,15
113998151684022,Referendum News,Advance Australia,772,13
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,717,2
117806591312470,Not Enough,Advance Australia,704,24
181578525342930,Master Builders Australia,Master Builders Australia,703,28
447447719391089,Health Care Providers Association,Health Care Providers Association,698,8
120075541104233,Gold Coast Labor,Queensland Labor,683,3
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,681,15
404948826259784,Senator James McGrath - Fighting for Queensland,Senator James McGrath - Fighting for Queensland,631,12
231341250224498,Australian Ethical Investment,Australian Ethical Investment,604,19
350996037887,Beyond Zero Emissions,Beyond Zero Emissions,601,20
105140971475089,Chuffed.org - Australia,Chuffed.org,572,3
89794331215,Oxfam,Oxfam Australia,570,57
223820240968967,Western Australian Electoral Commission,Western Australian Electoral Commission,563,2
122271967535458,Jan For Fadden,Australian Citizens Party,557,11
146307378744087,The Victorian Electoral Commission,Victorian Electoral Commission,530,3
103259978010848,SA Government,South Australian Government,522,42
134712696593275,Dan Andrews,Daniel Andrews MP,498,6
10113538711,WWF-Australia,WWF-Australia,484,7
694832627392516,Prime Super,Prime Super,475,44
134195116658191,UNSW Law & Justice,UNSW Sydney,475,3
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,474,10
1445863699024135,Business Council of Australia,Business Council of Australia,466,14
59024478936,Monash University,Monash University,430,18
494820897261439,Bank Australia,Bank Australia,417,16
125812604095801,Invasive Species Council,Invasive Species Council,400,37
10852627380,World Animal Protection Australia,World Animal Protection Australia,335,8
100492139310916,Australian Assange Campaign,Australian Assange Campaign,335,3
8422338499,The Wilderness Society,The Wilderness Society,322,31
536780606335962,Michelle Landry,Michelle Landry,303,4
133570433378147,Roger Cook,WA Labor,302,3
149648047339,Save the Children Australia,Save the Children Australia,296,23
162107547181406,LNP - Liberal National Party,Liberal National Party of Queensland,294,35
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,230,26
106162562029507,Jenny Ware MP - Federal Member for Hughes,Jenny Ware MP,226,2
352953834815624,Jason Wood MP,Jason Wood MP,225,3
100385049145414,Allegra Spender,Allegra Spender MP,218,12
523586527672529,Annastacia Palaszczuk MP,Annastacia Palaszczuk MP,185,9
172094012830551,Australian Paralympic Team,Paralympics Australia,181,4
107939487783753,Garth Hamilton MP,Garth Hamilton MP,180,8
144975872321975,Market Forces,Market Forces,180,3
182564410468,Australia for UNHCR,Australia for UNHCR,180,12
101594851651707,The Affordable Housing Party,The Affordable Housing Party,176,1
272757739102,Engineers Australia,Engineers Australia,173,7
100124836460077,Magenta Marshall - Labor for Rockingham,WA Labor,173,4
105348385388237,Senator Babet,Senator Babet,171,4
157812980921536,Environmental Defenders Office,Environmental Defenders Office,169,31
172381239442699,City of Parramatta,City of Parramatta,167,8
104419985146228,Ekō Australia,Ekō Australia,163,2
22936848857,Institute of Public Affairs,Institute of Public Affairs,162,4
316480331783930,Australian Unions,Australian Unions,161,67
1466035070293582,Alex Hawke MP,Alex Hawke MP,156,2
536223530633109,Freedom Property Investors,These ads ran without a disclaimer,154,1
195538532456,UNICEF Australia,UNICEF Australia,153,7
344541828914372,CFMEU WA,CFMEU Construction & General Western Australia Branch,151,5
102487032784269,Powered By Tasmania,Powered By Tasmania,146,10
161854162881,Greenfleet,Greenfleet,146,16
1767500736833451,Sustainable Population Australia,Sustainable Population Australia,143,16
280996218747910,Tim Richardson,Tim Richardson,141,10
54879226285,Teach For Australia,Teach For Australia,139,40
479405598755720,Women NSW,Women NSW,136,3
328245481103110,Senator Alex Antic,Alex Antic,132,8
100356216050100,Family First Party Australia,Family First Party Australia Ltd,129,10
104936088727424,Sam Birrell MP,Sam Birrell MP,127,1
101791443183,Melbourne Water,Melbourne Water,120,2
117058357932949,Constitutional Equality,Constitutional Equality,119,3
504855933190931,Time for Change - Change Aged Care,United Workers Union,110,25
121201504755819,Animal Justice Party AJP Victoria,Animal Justice Party,108,52
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,108,17
105084998845350,BPH Energy,BPH ENERGY LTD,107,58
35421541164,Lord Mayor Adrian Schrinner,Lord Mayor Adrian Schrinner,105,1
101317875732604,Dr Sophie Scamps,Sophie Scamps,104,4
107957850547464,Hayley Edwards - YOUR Independent for Rockingham,Hayley Edwards - YOUR Independent for Rockingham,104,4
44295826958,Australian Marine Conservation Society,Australian Marine Conservation Society,103,1
759333260797196,Libby Mettam,Libby Mettam,102,1
397230473694314,Queensland Labor,Queensland Labor,≤100,2
21551986502,The Greens (WA),The Greens (WA),≤100,2
198538033525283,deadly stories,"Department of Seniors, Disability Services and Aboriginal and Torres Strait Islander Partnership",≤100,2
397307097023253,Justine Elliot MP,Justine Elliot MP,≤100,1
105922411114130,Compass.info,Compass.info,≤100,3
150300238338551,Adam Bandt,Greens MPs,≤100,2
18812418320,Marie Claire Australia,These ads ran without a disclaimer,≤100,2
205615536167683,SA Health,SA Health,≤100,6
101216632430741,Letitia Del Fabbro,Queensland Labor,≤100,1
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,≤100,3
108505475616557,Peter Hudson - Liberal for Rockingham,Liberals WA,≤100,3
329982603721746,Mathew Dickerson,Mathew Dickerson,≤100,1
100314522404427,Andrew Willcox MP,Andrew Willcox MP,≤100,3
160347484009125,Central Land Council,Central Land Council,≤100,1
