Location name,Amount spent (IDR)
Aceh,1274676
Bali,1901662
Bangka–Belitung Islands,260764
Banten,2706310
Bengkulu,466561
Central Java,10134082
Central Kalimantan,550955
Central Sulawesi,1284089
East Java,9898148
East Kalimantan,1045957
East Nusa Tenggara,2063298
Gorontalo,1360268
Jakarta,6949179
Jambi,597255
Lampung,2278281
Maluku,336310
North Kalimantan,163150
North Maluku,250350
North Sulawesi,1347568
North Sumatra,5156333
Papua (province),1299840
Riau,2181756
Riau Islands Province,660803
South Kalimantan,1231404
South Sulawesi,1957033
South Sumatra,2400836
Southeast Sulawesi,524685
Special Region of Yogyakarta,1410215
Unknown,2238
West Java,8703026
West Kalimantan,1630344
West Nusa Tenggara,1801306
West Papua,290149
West Sulawesi,242714
West Sumatra,1680300
