Location name,Amount spent (GTQ)
Alta Verapaz Department,493
Baja Verapaz Department,102
Chimaltenango Department,264
Chiquimula Department,218
El Progreso Department,≤100
Escuintla Department,490
Guatemala Department,7145
Huehuetenango Department,486
Izabal Department,309
Jalapa Department,135
Jutiapa Department,190
Petén Department,224
Quetzaltenango Department,745
Quiché Department,338
Retalhuleu Department,182
Sacatepéquez Department,270
San Marcos Department,1241
Santa Rosa Department,143
Sololá Department,179
Suchitepéquez Department,280
Totonicapán Department,172
Unknown,≤100
Zacapa Department,153
