Location name,Amount spent (UYU)
Artigas Department,215
Canelones Department,401
Cerro Largo Department,182
Colonia Department,287
Durazno Department,≤100
Flores Department,≤100
Florida Department,119
Lavalleja Department,≤100
Maldonado Department,271
Montevideo Department,1946
Paysandú Department,264
Rivera Department,230
Rocha Department,140
Río Negro Department,≤100
Salto Department,296
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,166
Treinta y Tres Department,107
Unknown,≤100
