Location name,Amount spent (EUR)
Alsace,1117
Aquitaine,1794
Auvergne,576
Basse-Normandie,645
Bourgogne,776
Bretagne,1513
Centre,1190
Champagne-Ardenne,599
Corse,233
Franche-Comté,507
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,900
Languedoc-Roussillon,1662
Limousin,330
Lorraine,1125
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1517
New Caledonia,≤100
Nord-Pas-de-Calais,1870
Pays de la Loire,1697
Picardie,857
Poitou-Charentes,830
Provence-Alpes-Côte d'Azur,3395
Reunion Island,142
Rhône-Alpes,3335
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,7031
