Location name,Amount spent (LBP)
Beirut Governorate,2671642
Beqaa Governorate,1029852
Mount Lebanon Governorate,1507613
Nabatieh Governorate,402985
North Governorate,1507463
South Governorate,611940
Unknown,≤100
