Location name,Amount spent (LBP)
Beirut Governorate,3592039
Beqaa Governorate,977521
Mount Lebanon Governorate,1781912
Nabatieh Governorate,517642
North Governorate,1703820
South Governorate,893477
Unknown,≤100
