Location name,Amount spent (ISK)
Capital Region,41435
Eastern Region,1310
Northeastern Region,8158
Northwestern Region,684
Southern Peninsula,2569
Southern Region,3952
Unknown,≤100
Western Region,763
Westfjords,695
