Location name,Amount spent (IDR)
Aceh,1320120
Bali,1722124
Bangka–Belitung Islands,340485
Banten,2124383
Bengkulu,842574
Central Java,13104617
Central Kalimantan,841512
Central Sulawesi,1064836
East Java,10124578
East Kalimantan,1416772
East Nusa Tenggara,2686685
Gorontalo,756049
Jakarta,5219985
Jambi,733131
Lampung,2113676
Maluku,668819
North Kalimantan,186201
North Maluku,305323
North Sulawesi,2260285
North Sumatra,5094245
Papua (province),861692
Riau,2364566
Riau Islands Province,902576
South Kalimantan,861314
South Sulawesi,2916480
South Sumatra,2968165
Southeast Sulawesi,575349
Special Region of Yogyakarta,1290154
Unknown,5950
West Java,9387783
West Kalimantan,1421504
West Nusa Tenggara,1615356
West Papua,397723
West Sulawesi,336141
West Sumatra,1088926
