Location name,Amount spent (NZD)
Auckland Region,4803
Bay of Plenty Region,844
Canterbury,1274
Cook Islands,≤100
Gisborne District,111
Hawke's Bay,370
Manawatu-Wanganui,636
Marlborough Region,114
Nelson Province,129
Niue,≤100
Northland Region,538
Otago,632
Southland,231
Taranaki,335
Tasman District,≤100
Tokelau,≤100
Unknown,≤100
Waikato,1353
Wellington Region,1044
West Coast,≤100
