Location name,Amount spent (TND)
Ariana Governorate,145
Ben Arous Governorate,206
Bizerte Governorate,185
Béja Governorate,≤100
Gabès Governorate,145
Gafsa Governorate,129
Jendouba Governorate,≤100
Kairouan Governorate,136
Kasserine Governorate,≤100
Kebili Governorate,≤100
Kef Governorate,≤100
Mahdia Governorate,142
Manouba Governorate,≤100
Medenine Governorate,212
Monastir Governorate,336
Nabeul Governorate,329
Sfax,407
Sidi Bouzid Governorate,≤100
Siliana Governorate,≤100
Sousse Governorate,280
Tataouine Governorate,≤100
Tozeur Governorate,≤100
Tunis Governorate,554
Unknown,≤100
Zaghouan Governorate,≤100
