Location name,Amount spent (JPY)
Aichi Prefecture,15427
Akita Prefecture,1653
Aomori Prefecture,2383
Chiba Prefecture,16049
Ehime Prefecture,2934
Fukui Prefecture,1485
Fukuoka Prefecture,35861
Fukushima Prefecture,2547
Gifu Prefecture,3329
Gunma Prefecture,2895
Hiroshima Prefecture,5356
Hokkaido,10601
Hyōgo Prefecture,34187
Ibaraki Prefecture,5148
Ishikawa Prefecture,2962
Iwate Prefecture,1798
Kagawa Prefecture,2028
Kagoshima Prefecture,2448
Kanagawa Prefecture,46364
Kumamoto Prefecture,4439
Kyoto Prefecture,22598
Kōchi Prefecture,938
Mie Prefecture,3612
Miyagi Prefecture,10603
Miyazaki Prefecture,30931
Nagano Prefecture,5690
Nagasaki Prefecture,3969
Nara Prefecture,7348
Niigata Prefecture,3406
Okayama Prefecture,3610
Okinawa Prefecture,6205
Osaka Prefecture,76381
Saga Prefecture,2744
Saitama Prefecture,15296
Shiga Prefecture,6528
Shimane Prefecture,1083
Shizuoka Prefecture,10068
Tochigi Prefecture,3088
Tokushima Prefecture,1146
Tokyo,109588
Tottori Prefecture,826
Toyama Prefecture,1677
Unknown,172
Wakayama Prefecture,4982
Yamagata Prefecture,1616
Yamaguchi Prefecture,2465
Yamanashi Prefecture,1710
Ōita Prefecture,4201
