Location name,Amount spent (NZD)
Auckland Region,3571
Bay of Plenty Region,489
Canterbury,1195
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,334
Manawatu-Wanganui,556
Marlborough Region,≤100
Nelson Province,113
Niue,≤100
Northland Region,273
Otago,462
Southland,196
Taranaki,229
Tasman District,≤100
Unknown,≤100
Waikato,1003
Wellington Region,773
West Coast,≤100
