Location name,Amount spent (BRL)
Acre (state),972
Alagoas,3115
Amapá,1204
Amazonas,5950
Bahia,15682
Ceará,11931
Espírito Santo,4730
Federal District,6373
Goiás,9132
Maranhão,6874
Mato Grosso,5252
Mato Grosso do Sul,5015
Minas Gerais,29380
Paraná,12663
Paraíba,5403
Pará,6340
Pernambuco,11591
Piauí,3428
Rio Grande do Norte,4816
Rio Grande do Sul,12765
Rio de Janeiro (state),21081
Rondônia,2471
Roraima,1543
Santa Catarina,8758
Sergipe,2219
São Paulo (state),57489
Tocantins,1869
Unknown,≤100
