Location name,Amount spent (TWD)
Changhua,9452
Chiayi,2439
Hsinchu,4005
Hsinchu City,6357
Hualien,3176
Kaohsiung,33789
Keelung City,3657
Kinmen,580
Lienchiang,≤100
Miaoli,4689
Nantou,3633
New Taipei City,46239
Penghu,783
Pingtung,7231
Taichung,38499
Tainan,20789
Taipei,34531
Taitung,1819
Taoyuan City,27593
Unknown,4170
Yilan,3230
Yunlin,5712
