Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
33268280976,Disasters Emergency Committee (DEC),Disasters Emergency Committee (DEC),9498,43
7715002593,UNICEF UK,Unicef UK,9275,14
102639461303190,Fair Pay For All,Fair Pay For All,8068,181
311627208673,WWF UK,WWF UK,4905,62
26698813123,British Red Cross,British Red Cross,3833,4
220832481274508,Premier League,Premier League,3350,1
220543443746,International Rescue Committee - UK,International Rescue Committee UK,3135,6
9250349228,Greenpeace UK,Greenpeace UK,2684,28
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,2054,75
799576543492660,The Week Junior,The Week Junior,1978,59
10677003998,Shelter,Shelter,1921,249
158077247591710,Refuge,Refuge,1826,148
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,1790,2
353224381469808,ifaw,IFAW,1709,14
514212165305248,Leigh Day,Leigh Day,1397,116
7043497714,Christian Aid,Christian Aid,1341,38
35671512696,World Animal Protection UK,World Animal Protection UK,1285,72
45986010500,Barnardo's,Barnardo's,1271,10
483680375497477,Shell Energy,Shell Energy Retail Limited,1237,20
348366988862054,Oxfam Campaigns,Oxfam Great Britain,1035,10
121936349543,World Vision UK,World Vision UK,1028,27
13047522725,Crimestoppers,Crimestoppers,910,104
394936823930287,Age International,Age International,886,17
603389616739829,Bite Back 2030,Bite Back 2030,832,2
108951391565231,Help to Heat,Huw John Llewellyn,830,20
7624294394,Amnesty International UK,Amnesty International UK,808,35
110861655604080,Friends of the Earth,Friends of the Earth (EWNI),785,28
1613092172114946,DWP Digital,Department for Work and Pensions,781,4
21242962092,ClientEarth,ClientEarth,734,10
177855115588808,The Week UK,The Week UK,695,28
1160491283986885,Parent Club Scotland,Parent Club Scotland,684,21
103662352102391,Family Debt Help,Ian Keith Parsons,669,10
6366026879,Dogs Trust,Dogs Trust,663,6
7527864602,WaterAid UK,WaterAid UK,663,41
10499876484,Compassion in World Farming,Compassion in World Farming,648,72
18168505158,The Woodland Trust,Woodland Trust,596,57
39605200520,ActionAid UK,ActionAid UK,588,12
59367068326,The Ramblers,The Ramblers,572,10
107310464728068,Britain Remade,BRM Futures Limited,557,20
101255718164248,350 UK,350.org,518,15
106946654868342,Water's Worth Saving,Water UK,512,130
165099760197787,Welsh Government,Welsh Government,510,162
841894835830532,Electoral Commission UK,Electoral Commission UK,509,15
263162170381168,The Salvation Army United Kingdom and Ireland Territory,The Salvation Army United Kingdom with the Republic of Ireland,501,22
104677264773039,We Eat Balanced,Agriculture and Horticulture Development Board,488,11
365948210785448,Criminal Injuries Helpline,Criminal Injuries Helpline,469,9
159100234275780,UK Government Scotland,Office of the Secretary of State for Scotland,440,3
2558329857727118,Families In Debt,Families in debt,433,4
11965205188,Practical Action,Practical Action,407,15
1046117708754519,Care4Calais,Care4Calais,405,19
208573062515662,Freedom from Torture,Freedom from Torture,386,34
1738524969810037,Mission India UK,Mission India UK,366,5
102639461303190,Fair Pay For All,Maddison Clarke,359,30
713179875369048,London Gov,The Greater London Authority,333,9
112712550420527,Ekō UK,SumOfUs,326,1
1660600037490738,Guardian Labs,Guardian Labs,324,8
912590792245688,NHS Negligence Claims,Online Legal Limited,295,1
274651352565844,Oltco Ltd,Oltco Ltd,289,112
54605029793,British Medical Association,British Medical Association,280,1
25749647410,The Labour Party,The Labour Party,280,317
47612991154,Dignity in Dying,Dignity in Dying,274,7
105325515394672,Local Recovery,Local Recovery,261,29
18044497940,Plan International UK,Plan International UK,243,28
1645963095654688,Healthier Scotland,The Scottish Government,236,4
264444526901270,Human Aid & Advocacy,Human Aid & Advocacy,232,6
313376249090900,The Humane League UK,The Humane League UK,229,4
241312696375349,National Education Union,National Education Union,226,3
388468641597325,The Political Party with Matt Forde,Fifty Technology,222,5
404114017051274,The Proud Trust,The Proud Trust,222,3
103997132615740,Protect Britain's Communities,The Labour Party,220,235
175338329150218,Help For Heroes,Help for Heroes,217,137
246872175166,Action Against Hunger UK,Action Against Hunger UK,215,45
200006375787,38 Degrees,38 Degrees,212,4
101958682650112,ESG UK,Energy Saving Grants,210,50
112712550420527,Ekō UK,Ekō,210,4
8555757947,Tearfund,Tearfund,206,30
490007667679401,Hugh James,Hugh James,204,5
103835971750,Orbis UK,Orbis UK,200,25
2047806148766050,Animal Equality UK,Animal Equality UK,200,3
195754307110390,Right To Life UK,Right To Life UK,198,1
547761111920012,Anglian Water - Love Every Drop,Anglian Water,197,7
110538548040758,Care2 UK,John Ayling & Associates,197,19
328457661378085,Humanity & Inclusion UK,Humanity & Inclusion UK,192,9
290498754454402,European Movement UK,European Movement UK,180,8
18933990398,Stonewall,Stonewall UK,179,17
166335402260,Scottish Water,Scottish Water,173,1
18366996074,War on Want,War on Want,173,19
88845925295,Fairtrade Foundation,Fairtrade Foundation,166,6
386603161497200,Public Protection - Kent,Kent County Council,154,4
349596960793,Leeds City Council,Leeds City Council,152,15
211614899544570,Long Live The Local,British Beer & Pub Association,146,14
