Location name,Amount spent (COP)
Amazonas,681
Antioquia,3471192
Arauca,26171
Atlantico,614814
Bolivar,242983
Boyaca,79986
Caldas,186022
Caqueta,53179
Casanare,34280
Cauca,264095
Cesar,114847
Choco,43931
Cordoba,214252
Cundinamarca,583522
Distrito Especial,7427493
Guainia,821
Guaviare,17867
Huila,170745
La Guajira,69998
Magdalena,150039
Meta,206105
Narino,139478
Norte de Santander,241606
Putumayo,225710
Quindio,133766
Risaralda,295109
San Andres y Providencia,9294
Santander,512079
Sucre,84834
Tolima,221363
Unknown,≤100
Valle del Cauca,3437607
Vaupes,403
Vichada,1140
