Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,12756,270
301774903545521,Brasil Paralelo,Brasil Paralelo,8992,10
54779960819,United Nations,United Nations with Facebook Ad Credits,5752,9
1127498110791820,EducaMídia,EducaMídia com créditos para anúncios do Facebook,5457,4
104073419103062,Confia no Brasil,ASSOCIAÇÃO COMUNICAÇÃO EM REDE,5111,4
128802790469337,Todos Pela Educação,Todos Pela Educação,4320,6
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,4189,4
159103797542,Greenpeace Brasil,Greenpeace Brasil,3105,147
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,2788,1
101189854802059,Revista Oeste,Revista Oeste,2615,15
109354687306376,Instituto Conhecimento Liberta,Instituto Conhecimento Liberta,2187,125
275181425967272,Olavo de Carvalho,CAMARGO & CARVALHO TECNOLOGIA DA INFORMACAO LTDA,2165,64
333720355130,Petrobras,Petrobras,1172,29
367980806622995,Bruna Furlan Deputada Estadual,Bruna Furlan,1031,122
157982450937286,Senador Carlos Viana,Carlos Alberto Dias Viana,994,8
142183709175200,Sou Concurseiro e Vou Passar,SOUZA E SILVA - TREINAMENTOS LTDA ME,755,6
109770755848061,Suzano,Suzano SA,732,6
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,700,35
108742321417244,Gerson Aragão,SCIREJUS APLICATIVOS JURIDICOS LTDA,666,119
425215080864180,Pfizer Brasil,Pfizer,660,4
107589328880817,Brasil no Foco,Francine De Almeida Viana Pereira,629,64
197698930267127,Alana,Instituto Alana,614,29
105806795144292,EducaMídia 60+,EducaMídia 60+ com créditos para anúncios do Facebook,580,2
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,551,31
515514761825666,Prefeitura de Curitiba,Prefeitura Municipal de Curitiba,545,7
330379553673497,Oxfam Brasil,Oxfam Brasil,508,128
104738421003389,InvestNews BR,Easynvest,505,15
