Location name,Amount spent (KES)
Central Province,376
Coast Province,1311
Eastern Province,2521
Nairobi,18398
North Eastern Province,≤100
Nyanza Province,294
Rift Valley Province,1056
Unknown,≤100
Western Province,≤100
