Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,7796,159
102292348146435,The Uluru Statement from the Heart,"Indigenous Law Centre, UNSW",2760,4
10113538711,WWF-Australia,WWF-Australia,1852,73
290994417624733,ALDI Australia,These ads ran without a disclaimer,1557,1
514475628623089,Our Watch,Our Watch,1464,3
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,1374,36
710266392358023,Future Super,Future Super,1362,29
575557119153505,Department of Planning and Environment,"NSW Department of Planning, Industry and Environment",1281,7
92824008332,Plan International Australia,Plan International Australia,1136,43
101589645013040,Thrive by Five,Thrive By Five,1076,16
101791315693,Destiny Rescue,Destiny Rescue,1074,30
447447719391089,Health Care Providers Association,Health Care Providers Association,992,10
177072498997234,NSW Electoral Commission,NSW Electoral Commission,965,22
1776727752614025,Glencore,Glencore Australia,948,2
161854162881,Greenfleet,Greenfleet,812,12
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,812,11
373523642668552,Energy - Queensland,Department of Energy and Public Works,783,60
182564410468,Australia for UNHCR,Australia for UNHCR,764,110
162747001109183,TWU Members First,TWU Members First Team,716,4
117241141903,Barnardos Australia,Barnardos Australia,631,7
126755754702938,Respect Victoria,Respect Victoria,603,10
89794331215,Oxfam,Oxfam Australia,584,95
308746806571901,Advance Australia,Advance Australia,545,36
149648047339,Save the Children Australia,Save the Children Australia,499,27
102329728050606,From the Heart,Cape York Institute,471,9
1943258269309425,Equality Australia,Equality Australia,438,12
299753643444311,AEC,Australian Electoral Commission,429,25
316480331783930,Australian Unions,Australian Unions,411,55
49453745631,Amnesty International Australia,Amnesty International Australia,393,6
8422338499,The Wilderness Society,The Wilderness Society,375,100
494820897261439,Bank Australia,Bank Australia,357,39
879712192044319,Animal Justice Party NSW,Animal Justice Party NSW,345,27
119570884780306,Katy Gallagher,Katy Gallagher,329,4
10852627380,World Animal Protection Australia,World Animal Protection Australia,318,5
504855933190931,Time for Change - Change Aged Care,United Workers Union,311,64
345960425540557,The Climate Council,The Climate Council,310,80
1989373424630784,Bridging the Gap Foundation,Bridging the Gap Foundation,302,17
307014179414836,David Speirs MP,South Australian Liberals,300,1
154796877889890,The Hospital Research Foundation Group,The Hospital Research Foundation Group,286,8
191570179167,Catherine Hamlin Fistula Foundation,Catherine Hamlin Fistula Foundation,279,11
59024478936,Monash University,Monash University,268,18
231341250224498,Australian Ethical Investment,Australian Ethical Investment,267,68
11775531229,The Chaser,The Chaser,261,5
694832627392516,Prime Super,Prime Super,252,154
231952773568442,Berry Street,Berry Street,246,12
159487260807787,Tindo Solar,Tindo Solar,240,3
105140971475089,Chuffed.org - Australia,Chuffed.org,234,1
281530749293959,Rainforest 4,Rainforest 4 Foundation Ltd,226,5
329777267205680,ACT Government,ACT Government,226,17
106802658458781,Vape and Vote,Legalise Vaping Australia,221,3
581606621934473,International Justice Mission,IJM Australia with Facebook ad credits,216,4
105610156282,Human Rights Law Centre,The Human Rights Law Centre,215,5
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),199,10
200819325600,ActionAid Australia,ActionAid Australia,194,26
352953834815624,Jason Wood MP,Jason Wood MP,189,5
100317645636097,UniSuper,UniSuper,182,7
208483319188390,Queensland Unions,Queensland Unions,182,3
13527056454,GetUp!,GetUp!,181,1
105084998845350,BPH Energy,BPH ENERGY LTD,179,50
7783116506,Animals Asia,These ads ran without a disclaimer,179,10
113606643816829,Round Theory Wines,Round Theory Wines,177,4
157812980921536,Environmental Defenders Office,Environmental Defenders Office,176,30
655173787829512,National Zakat Foundation Australia,NATIONAL ZAKAT FOUNDATION INCORPORATED,171,138
1801102123450996,Kellogg's Australia,These ads ran without a disclaimer,168,1
1501550403427903,Senator Anthony Chisholm,Senator Anthony Chisholm,165,5
272757739102,Engineers Australia,Engineers Australia,149,6
387624131383295,Dept of Communities and Justice NSW - stronger together,Department of Communities and Justice,148,8
119931654696956,Victorian Greens,Victorian Greens,147,4
361491373921077,Solar Citizens,100% Renewable Community Campaign Public Fund,138,9
2383045228374491,CPAC Australia,Conservative Political Action Network Ltd,124,13
1414406035466037,Jeremy Rockliff,Jeremy Rockliff,123,3
250684105072363,Tony Pasin MP,Tony Pasin MP,117,2
100356216050100,Family First Party Australia,Family First Party Australia Ltd,117,2
367759967036315,Dr David Honey MLA,Dr David Honey MLA,115,5
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,112,28
104936088727424,Sam Birrell MP,Sam Birrell MP,101,1
111577958275695,Better BeCause,Better BeCause,101,15
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,≤100,20
243362776583569,Air Mail,These ads ran without a disclaimer,≤100,1
145347352187764,UN Women Australia,UN Women Australia,≤100,12
726565307466774,Peta Murphy MP Federal Member for Dunkley,Peta Murphy MP Federal Member for Dunkley,≤100,2
209356172528167,Lateral Event Management,Lateral Events,≤100,18
21591025194,The University of Melbourne,The University of Melbourne,≤100,3
292071208076235,Our Regional NSW,These ads ran without a disclaimer,≤100,1
22936848857,Institute of Public Affairs,Institute of Public Affairs,≤100,1
214580121886337,The Ethics Centre,The Ethics Centre,≤100,18
172774889455415,Catholic Mission,Catholic Mission,≤100,2
90728602000,Greening Australia,Greening Australia,≤100,10
68280472472,Queensland Conservation Council,Queensland Conservation Council,≤100,3
329982603721746,Mathew Dickerson,Mathew A Dickerson,≤100,1
170564936379687,BirdLife Australia,BirdLife Australia,≤100,5
119246428679,NSW Labor,NSW Labor,≤100,4
356113427813761,Kevin Hogan MP,Kevin Hogan MP,≤100,4
8013404017,Crikey,Private Media,≤100,33
362805317148988,Keith Pitt,Keith Pitt,≤100,1
157481181070130,Indigenous Employment Australia,Access,≤100,30
93698535865,Toowoomba Region,Toowoomba Regional Council,≤100,1
