Location name,Amount spent (PKR)
Azad Kashmir,1812
Balochistan,1847
Federally Administered Tribal Areas,347
Gilgit-Baltistan,806
Islamabad Capital Territory,4625
Khyber Pakhtunkhwa,11234
Punjab,38990
Sindh,20621
Unknown,≤100
