Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
1403118079766792,JetSMART,These ads ran without a disclaimer,626366,4
115808554792561,Carlos Galleguillos Carvajal,Carlos Andres Galleguillos Carvajal,569335,17
1366892303449939,Partido Republicano,Partido Republicano,482633,15
113153381003177,Natalia Piergentili,Natalia Piergentili,338739,71
28023147497,Partido Comunista de Chile,Partido Comunista de Chile,282603,1
628303047364442,Dr. Marco Antonio Núñez,Marco Antonio Nuñez,258322,18
105091012517593,Bruno Baranda,Campaña Bruno Baranda,240758,18
179979135524787,Camila Miranda Consejera Constituyente RM,Camila Miranda Consejera Constituyente RM,237746,4
418281855197789,Democracia Cristiana,Democracia Cristiana,236155,133
1059804450772270,Antonio Barchiesi,Antonio Barchiesi,186408,6
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,155138,5
1396460303715065,Carozzi,Carozzi,141107,4
117971414554702,Juan Sutil,Juan Sutil Candidato,136827,42
111831181812892,Raimundo J. Palamara Stewart,Raimundo J. Palamara Stewart,130727,3
105292082486576,Edmundo Eluchans,Edmundo Eluchans Urenda,122349,9
113525251672380,Republicanos ñuble,Republicanos del Ñuble,120539,14
100942448494149,Fernanda Pinochet,Fernanda Pinochet,118682,27
104189318481439,Minería y Futuro,Mineria y Futuro,118388,21
117396934582415,Cuidemos la Infancia,Cuidemos la Infancia,116481,11
150372358891887,Paz Suárez Briones,Paz Andrea Suarez Briones,115299,8
101761458511272,Jorge Insunza,Jorge Insunza,110983,35
100629246179774,Arturo Phillips,Arturo Phillips,107796,4
107121248975540,Marcelo Schilling-Constitucional,Marcelo Gastón Rodriguez Schilling,106466,3
378598039556864,María José Puigrredón,María José Puigrredón,105014,10
164433517709728,María Ignacia Castro Rojas,Jorge Luis Andres Hermosilla Torres,97003,20
335068640271176,Nataly Neira,Nataly Neira,91504,4
104820842536215,Ignacio Dülger,Ignacio Dulger,83936,9
463509033710164,Walmart Chile Vivamos Mejor,Walmart Chile,83070,8
150331635097423,Servicio Electoral de Chile,Servicio Electoral de Chile,81854,6
101915952829830,María Pardo Vergara,María Pardo Vergara,77697,10
102586276093037,Sergio Bitar,Sergio Bitar,75242,15
111477215224712,Marlenne Durán,Marlenne Durán,69042,3
100606052976302,Gloria Hutt,Gloria Hutt,68968,19
591373478191895,Samuel Galvez Derpich,Samuel Andrés Gálvez Derpich,64212,4
114998294847196,Aldo Bernucci Constituyente,Aldo Dino Bernucci Diaz,64019,4
110185035352619,Gonzalo Pinochet,Gonzalo Antonio Pinochet Abarca,62954,2
104782822559247,Jose Antonio Urrutia - Candidato Consejo Constitucional E-18,Agustin Orrego,60652,42
257773836107444,Ricardo Ortega Perrier,Ricardo Ortega Perrier,59455,62
104260521982245,Carlos González Herrera,Carlos González Herrera,58747,17
307330256067716,Red Atacama,Diarios en Red,54699,7
108613744354984,Aldo Valle Acevedo,Aldo Salvador Valle Acevedo,53146,4
