Location name,Amount spent (UYU)
Artigas Department,173
Canelones Department,850
Cerro Largo Department,159
Colonia Department,279
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,369
Montevideo Department,4508
Paysandú Department,191
Rivera Department,491
Rocha Department,108
Río Negro Department,≤100
Salto Department,678
San José Department,132
Soriano Department,145
Tacuarembó Department,143
Treinta y Tres Department,104
Unknown,≤100
