Location name,Amount spent (ISK)
Capital Region,44813
Eastern Region,2369
Northeastern Region,6535
Northwestern Region,1288
Southern Peninsula,5058
Southern Region,5370
Unknown,≤100
Western Region,1473
Westfjords,1529
