Location name,Amount spent (TRY)
Adana Province,5022
Adıyaman Province,117
Afyonkarahisar Province,352
Aksaray Province,121
Amasya Province,≤100
Ankara Province,2185
Antalya Province,1703
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,925
Ağrı Province,≤100
Balıkesir Province,411
Bartın Province,≤100
Batman Province,107
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,102
Burdur Province,≤100
Bursa Province,1035
Denizli Province,374
Diyarbakır Province,267
Düzce Province,107
Edirne Province,101
Elazığ Province,111
Erzincan Province,≤100
Erzurum Province,190
Eskişehir Province,306
Gaziantep Province,660
Giresun Province,171
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1109
Isparta Province,459
Istanbul Province,7923
Iğdır Province,≤100
Kahramanmaraş Province,419
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,457
Kilis Province,≤100
Kocaeli Province,412
Konya Province,688
Kütahya Province,154
Kırklareli Province,≤100
Kırıkkale Province,113
Kırşehir Province,≤100
Malatya Province,183
Manisa Province,429
Mardin Province,154
Mersin Province,1728
Muğla Province,514
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,227
Osmaniye Province,314
Rize Province,≤100
Sakarya Province,159
Samsun Province,1464
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,132
Tekirdağ Province,258
Tokat Province,124
Trabzon Province,242
Tunceli Province,≤100
Unknown,≤100
Uşak Province,129
Van Province,147
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,157
Çanakkale Province,193
Çankırı Province,≤100
Çorum Province,137
İzmir Province,1852
Şanlıurfa Province,518
Şırnak Province,≤100
