Location name,Amount spent (EGP)
Al Sharqia Governorate,2321
Alexandria Governorate,2098
Aswan Governorate,378
Asyut Governorate,896
Beheira Governorate,1318
Beni Suef Governorate,756
Cairo Governorate,5801
Dakahlia Governorate,2955
Damietta Governorate,835
Faiyum Governorate,602
Gharbia Governorate,2098
Giza Governorate,2444
Ismailia Governorate,747
Kafr el-Sheikh Governorate,1119
Luxor Governorate,233
Matrouh Governorate,101
Minya Governorate,992
Monufia Governorate,1668
New Valley Governorate,122
North Sinai Governorate,182
Port Said Governorate,1003
Qalyubia Governorate,1509
Qena Governorate,562
Red Sea Governorate,212
Sohag Governorate,1268
South Sinai Governorate,≤100
Suez Governorate,330
Unknown,≤100
