Location name,Amount spent (ISK)
Capital Region,46640
Eastern Region,2285
Northeastern Region,6315
Northwestern Region,1325
Southern Peninsula,4834
Southern Region,5039
Unknown,≤100
Western Region,1407
Westfjords,1394
