Location name,Amount spent (EUR)
Alsace,608
Aquitaine,1424
Auvergne,404
Basse-Normandie,424
Bourgogne,508
Bretagne,1070
Centre,806
Champagne-Ardenne,418
Corse,192
Franche-Comté,359
French Guiana,116
French Polynesia,≤100
Guadeloupe,117
Haute-Normandie,1091
Languedoc-Roussillon,1202
Limousin,219
Lorraine,741
Martinique,120
Mayotte,≤100
Midi-Pyrénées,1044
New Caledonia,≤100
Nord-Pas-de-Calais,1327
Pays de la Loire,1377
Picardie,639
Poitou-Charentes,596
Provence-Alpes-Côte d'Azur,2734
Reunion Island,213
Rhône-Alpes,2386
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4957
