Location name,Amount spent (ZAR)
Eastern Cape,465
Free State,392
Gauteng,1537
KwaZulu-Natal,735
Limpopo,497
Mpumalanga,256
North West,166
Northern Cape,≤100
Unknown,≤100
Western Cape,1656
