Location name,Amount spent (PKR)
Azad Kashmir,796
Balochistan,1213
Federally Administered Tribal Areas,176
Gilgit-Baltistan,378
Islamabad Capital Territory,1044
Khyber Pakhtunkhwa,5467
Punjab,22762
Sindh,107428
Unknown,≤100
