Location name,Amount spent (PYG)
Alto Paraguay Department,7277
Alto Paraná Department,73249
Amambay Department,10866
Asunción,179362
Boquerón department,14956
Caaguazú Department,20404
Caazapá Department,3781
Canindeyú Department,6660
Central Department,359942
Concepción Department (Paraguay),11579
Cordillera Department,25647
Guairá Department,6663
Itapúa Department,31948
Misiones Department,7586
Paraguarí Department,13158
Presidente Hayes Department,18556
San Pedro Department,11561
Unknown,≤100
Ñeembucú Department,4597
