Location name,Amount spent (IDR)
Aceh,653227
Bali,1931414
Bangka–Belitung Islands,403088
Banten,2931006
Bengkulu,553778
Central Java,7485543
Central Kalimantan,758815
Central Sulawesi,717392
East Java,9699721
East Kalimantan,1139734
East Nusa Tenggara,1646381
Gorontalo,504272
Jakarta,5107929
Jambi,621016
Lampung,2012307
Maluku,340915
North Kalimantan,180607
North Maluku,237451
North Sulawesi,1305536
North Sumatra,4831320
Papua (province),633243
Riau,2545987
Riau Islands Province,761621
South Kalimantan,561652
South Sulawesi,2345809
South Sumatra,2304934
Southeast Sulawesi,528718
Special Region of Yogyakarta,1743362
Unknown,2795
West Java,8432621
West Kalimantan,1082822
West Nusa Tenggara,1193265
West Papua,297872
West Sulawesi,270624
West Sumatra,1026117
