Location name,Amount spent (USD)
Bocas del Toro Province,≤100
Chiriquí Province,329
Coclé Province,133
Colón Province,153
Darién Province,≤100
Herrera Province,≤100
Kuna de Madugandí,≤100
Kuna de Wargandí,≤100
Los Santos Province,≤100
Panamá Province,3618
San Blas,≤100
Unknown,≤100
Veraguas Province,≤100
