Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
100465485648,British Gas,British Gas,14869,14
10677003998,Shelter,Shelter,13274,187
220543443746,International Rescue Committee - UK,International Rescue Committee UK,8932,152
7715002593,UNICEF UK,Unicef UK,6854,17
311627208673,WWF UK,WWF UK,6781,71
102639461303190,Fair Pay For All,Fair Pay For All,4055,100
208573062515662,Freedom from Torture,Freedom from Torture,2921,89
9250349228,Greenpeace UK,Greenpeace UK,2338,7
158077247591710,Refuge,Refuge,2311,13
37981137361,The Children's Society,The Children's Society,2113,60
7624294394,Amnesty International UK,Amnesty International UK,1713,70
117509421272,St Mungo's,St Mungo's,1621,33
408582579294175,UK government,UK Government,1466,30
26698813123,British Red Cross,British Red Cross,1387,51
360322167647280,"Mayor of London, Sadiq Khan",The Greater London Authority,1334,59
7527864602,WaterAid UK,WaterAid UK,1331,57
799576543492660,The Week Junior,The Week Junior,1252,64
7214031395,Oxfam Great Britain,Oxfam Great Britain,1208,32
353224381469808,ifaw,IFAW,1208,20
35671512696,World Animal Protection UK,World Animal Protection UK,1178,41
21242962092,ClientEarth,ClientEarth,1063,65
117476785190,Save the Children UK,Save the Children UK,1021,8
348366988862054,Oxfam Campaigns,Oxfam Great Britain,991,7
7043497714,Christian Aid,Christian Aid,951,16
7715002593,UNICEF UK,UNICEF UK with Facebook Ad Credits,915,8
101558386889,Shelter Scotland,Shelter Scotland,826,87
1613092172114946,DWP Digital,Department for Work and Pensions,816,4
121936349543,World Vision UK,World Vision UK,768,21
1046117708754519,Care4Calais,Care4Calais,667,31
200480966638039,Supremacy 1914,These ads ran without a disclaimer,662,1
170911309781648,Veganuary,Veganuary,599,67
40409120801,Refugee Council,Refugee Council,564,11
1645963095654688,Healthier Scotland,The Scottish Government,554,7
97708339756,Action for Children,Action for Children,531,10
1660600037490738,Guardian Labs,Guardian Labs,524,20
13047522725,Crimestoppers,Crimestoppers,488,40
112845639376,Refugee Action,Refugee Action,442,131
165099760197787,Welsh Government,Welsh Government,426,181
106946654868342,Water's Worth Saving,Water UK,416,104
18044497940,Plan International UK,Plan International UK,413,28
6233536938,War Child UK,War Child UK,410,22
1450681158291594,Counter Terrorism Police UK,Counter Terrorism Police UK,370,12
54605029793,British Medical Association,British Medical Association,366,4
112712550420527,Sumofus UK,SumOfUs,363,3
490007667679401,Hugh James,Hugh James,360,5
101255718164248,350 UK,350.org,352,5
116625838402686,FareShare,FareShare,349,29
177855115588808,The Week UK,The Week UK,348,26
328457661378085,Humanity & Inclusion UK,Humanity & Inclusion UK,298,16
109602554296513,Your Funded Energy Solution,Huw John Llewellyn,276,13
274651352565844,Oltco Ltd,Oltco Ltd,275,122
8539814909,International Animal Rescue,International Animal Rescue with Facebook Ad Credits,269,5
200786289976224,The Scottish Government,The Scottish Government,260,5
169042736456594,All Out,All Out,254,16
113277290454039,Common Seas,Common Seas,245,1
290498754454402,European Movement UK,European Movement UK,244,8
2047806148766050,Animal Equality UK,Animal Equality UK,235,7
10986039307,VSO,VSO,235,60
18168505158,The Woodland Trust,Woodland Trust,232,44
212038972186253,Transport for London,Transport for London,228,1
313376249090900,The Humane League UK,The Humane League UK,228,5
6708565748,CBM UK,CBM UK,217,7
97116898596,Sightsavers,Sightsavers,207,12
108951391565231,Help to Heat,Huw John Llewellyn,198,9
59304777880,YMCA England & Wales,YMCA England & Wales,192,15
8270524646,Alzheimer's Society,Alzheimer's Society,189,4
114651147002520,SSE Energy Solutions,SSE,188,7
7231383046,RSPCA (England & Wales),RSPCA,188,4
39605200520,ActionAid UK,ActionAid UK,182,24
547761111920012,Anglian Water - Love Every Drop,Anglian Water,177,4
368213053329553,"Department for Business, Energy and Industrial Strategy",These ads ran without a disclaimer,169,2
135456716565905,Guardian Jobs,Guardian Jobs,165,26
100553032399423,The Fund for Global Human Rights UK,The Fund for Global Human Rights,151,22
139695000173,Good Energy,Good Energy,149,29
249209468838241,Good Law Project,Good Law Project,147,54
949047155159569,ConnectFutures,ConnectFutures with Facebook Ad Credits,143,5
13533633585,National Trust,National Trust,140,2
166335402260,Scottish Water,Scottish Water,137,6
110934940687948,"Sharon Graham - General Secretary, Unite the Union",Unite Sharon Graham,134,1
1721275931466984,The Reclaim Party,The Reclaim Party,133,4
195754307110390,Right To Life UK,Right To Life UK,129,3
358706239805,Scope,Scope,122,8
730993880393394,Michelle O'Neill,Sinn Féin,114,17
97283538614,Cool Earth,Cool Earth,113,2
569834799727730,National Grid UK,National Grid UK,109,3
111659155059527,Is This OK? - Greater Manchester Gender-Based Violence Campaign,Greater Manchester Combined Authority,107,3
433758463400561,Equation,Equation,106,10
319465674441,Game & Wildlife Conservation Trust (GWCT),Game & Wildlife Conservation Trust (GWCT),103,1
111339325988454,The Coders Guild,The Coders Guild,≤100,3
603389616739829,Bite Back 2030,Bite Back 2030,≤100,6
101658941945819,Bath's Clean Air Zone,Bath and North East Somerset Council,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,1
260012884055691,Metropolitan Police Service,Metropolitan Police Service,≤100,3
183831360784,Theirworld,Theirworld,≤100,11
32514078659,Liberty,Liberty,≤100,12
303760836322372,Bullen Healthcare,Bullen Healthcare,≤100,19
175067939218623,Mercy Corps - Europe,Mercy Corps Europe,≤100,3
101141609289743,Hunter Bowls UK,These ads ran without a disclaimer,≤100,1
163273590367943,Elton John AIDS Foundation,Elton John AIDS Foundation,≤100,8
190194154347100,Llywodraeth Cymru,Llywodraeth Cymru,≤100,156
100651718058538,The Commitment,The Commitment,≤100,18
8422578815,Soil Association,Soil Association,≤100,6
7569385657,Co-operative Party,Co-operative Party,≤100,1
1422817667967727,Rainbow Migration,Rainbow Migration,≤100,16
10499876484,Compassion in World Farming,Compassion in World Farming,≤100,6
26321373907,AKT,akt (Albert Kennedy Trust),≤100,1
100854403381908,Pay Justice,Pay Justice,≤100,4
