Location name,Amount spent (PYG)
Alto Paraguay Department,14703
Alto Paraná Department,937035
Amambay Department,92955
Asunción,824016
Boquerón department,49067
Caaguazú Department,513480
Caazapá Department,77003
Canindeyú Department,105156
Central Department,2361153
Concepción Department (Paraguay),120486
Cordillera Department,288559
Guairá Department,155894
Itapúa Department,576524
Misiones Department,136469
Paraguarí Department,155960
Presidente Hayes Department,74741
San Pedro Department,165757
Unknown,118
Ñeembucú Department,101728
