Location name,Amount spent (PYG)
Alto Paraguay Department,15827
Alto Paraná Department,336682
Amambay Department,34475
Asunción,280477
Boquerón department,16185
Caaguazú Department,93624
Caazapá Department,24301
Canindeyú Department,34044
Central Department,1261672
Concepción Department (Paraguay),45610
Cordillera Department,89403
Guairá Department,34118
Itapúa Department,113109
Misiones Department,26186
Paraguarí Department,40874
Presidente Hayes Department,21096
San Pedro Department,53385
Unknown,≤100
Ñeembucú Department,16806
