Location name,Amount spent (DKK)
Capital Region of Denmark,46880
Central Denmark Region,26171
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12590
Region of Southern Denmark,24558
Unknown,≤100
Zealand Region,19135
