Location name,Amount spent (PLN)
Greater Poland Voivodeship,4042
Kuyavian-Pomeranian Voivodeship,1896
Lesser Poland Voivodeship,4537
Lower Silesian Voivodeship,2900
Lublin Voivodeship,1805
Lubusz Voivodeship,832
Masovian Voivodeship,6377
Opole Voivodeship,699
Podkarpackie Voivodeship,1601
Podlaskie Voivodeship,905
Pomeranian Voivodeship,2436
Silesian Voivodeship,3730
Unknown,≤100
Warmian-Masurian Voivodeship,1031
West Pomeranian Voivodeship,1603
Łódź Voivodeship,2344
Świętokrzyskie Voivodeship,885
