Location name,Amount spent (TRY)
Adana Province,608
Adıyaman Province,≤100
Afyonkarahisar Province,106
Aksaray Province,121
Amasya Province,≤100
Ankara Province,2715
Antalya Province,959
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,211
Ağrı Province,≤100
Balıkesir Province,253
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,911
Denizli Province,316
Diyarbakır Province,105
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,426
Gaziantep Province,270
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,326
Isparta Province,≤100
Istanbul Province,13224
Iğdır Province,≤100
Kahramanmaraş Province,156
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,312
Kayseri Province,167
Kilis Province,≤100
Kocaeli Province,664
Konya Province,317
Kütahya Province,≤100
Kırklareli Province,≤100
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,398
Manisa Province,233
Mardin Province,≤100
Mersin Province,522
Muğla Province,689
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,147
Osmaniye Province,108
Rize Province,≤100
Sakarya Province,133
Samsun Province,848
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,400
Tokat Province,≤100
Trabzon Province,121
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,228
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,1320
Şanlıurfa Province,169
Şırnak Province,≤100
