Location name,Amount spent (USD)
Addu Atoll,≤100
Alif Alif Atoll,≤100
Dhaalu Atoll,≤100
Gnaviyani Atoll,≤100
Haa Dhaalu Atoll,≤100
Kaafu Atoll,≤100
Laamu Atoll,≤100
