Location name,Amount spent (INR)
Andaman and Nicobar Islands,779
Andhra Pradesh,19811
Arunachal Pradesh,1277
Assam,13041
Bihar,39256
Chandigarh,1935
Chhattisgarh,16255
Dadra and Nagar Haveli,669
Delhi,42553
Goa,3006
Gujarat,45253
Haryana,45785
Himachal Pradesh,12830
Jammu and Kashmir,7736
Jharkhand,11990
Karnataka,149194
Kerala,11369
Lakshadweep,≤100
Madhya Pradesh,58965
Maharashtra,186320
Manipur,1800
Meghalaya,1576
Mizoram,291
Nagaland,1556
Odisha,10265
Puducherry,780
Punjab region,31920
Rajasthan,147257
Sikkim,503
Tamil Nadu,27482
Telangana,59192
Tripura,1444
Unknown,≤100
Uttar Pradesh,90090
Uttarakhand,9947
West Bengal,47393
