Location name,Amount spent (PLN)
Greater Poland Voivodeship,5246
Kuyavian-Pomeranian Voivodeship,3550
Lesser Poland Voivodeship,4959
Lower Silesian Voivodeship,3891
Lublin Voivodeship,1963
Lubusz Voivodeship,1241
Masovian Voivodeship,10509
Opole Voivodeship,981
Podkarpackie Voivodeship,1741
Podlaskie Voivodeship,1197
Pomeranian Voivodeship,6301
Silesian Voivodeship,4570
Unknown,≤100
Warmian-Masurian Voivodeship,1457
West Pomeranian Voivodeship,2213
Łódź Voivodeship,3233
Świętokrzyskie Voivodeship,1075
