Location name,Amount spent (EGP)
Al Sharqia Governorate,1019
Alexandria Governorate,1346
Aswan Governorate,120
Asyut Governorate,302
Beheira Governorate,520
Beni Suef Governorate,356
Cairo Governorate,2448
Dakahlia Governorate,919
Damietta Governorate,157
Faiyum Governorate,301
Gharbia Governorate,856
Giza Governorate,907
Ismailia Governorate,124
Kafr el-Sheikh Governorate,391
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,290
Monufia Governorate,638
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,253
Qalyubia Governorate,770
Qena Governorate,189
Red Sea Governorate,≤100
Sohag Governorate,290
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
