Location name,Amount spent (UYU)
Artigas Department,140
Canelones Department,347
Cerro Largo Department,130
Colonia Department,192
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,183
Montevideo Department,1987
Paysandú Department,3809
Rivera Department,787
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,172
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,115
Treinta y Tres Department,≤100
Unknown,≤100
