Location name,Amount spent (CAD)
Alberta,39892
British Columbia,8857
Manitoba,4131
New Brunswick,757
Newfoundland and Labrador,736
Northwest Territories,≤100
Nova Scotia,1173
Nunavut,≤100
Ontario,26160
Prince Edward Island,148
Quebec,10520
Saskatchewan,2904
Unknown,≤100
Yukon,≤100
