Location name,Amount spent (USD)
Azuay Province,178
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,145
Chimborazo Province,190
Cotopaxi Province,≤100
El Oro Province,280
Esmeraldas Province,336
Galápagos Province,≤100
Guayas Province,470
Imbabura Province,≤100
Loja Province,≤100
Los Ríos Province,216
Manabí Province,406
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,359
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,219
Sucumbíos Province,110
Tungurahua Province,116
Unknown,≤100
Zamora-Chinchipe Province,≤100
