Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,10260,8
111041662264882,Sociální demokracie,ČSSD,5154,10
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",4295,7
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,2942,6
197010357446014,Ondřej Prokop,Ondrej Prokop,2787,9
361281313901258,Komerční banka,"Komerční banka, a.s.",2701,4
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,2530,7
56292993421,Jeden svět / One World,Člověk v tísni o.p.s.,2444,6
944358442253364,Jihočeský kraj - oficiální,Jihočeský kraj - oficiální,2323,5
120461304659141,O2 CZ,O2 Czech republic,2163,2
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,2008,8
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita Česká republika,1888,5
356451014434612,Marian Jurečka,KDU-ČSL,1565,8
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,1503,8
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,1393,5
90002267161,TOP 09,TOP 09,1318,14
251656685576,KDU-ČSL,KDU-ČSL,1289,3
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1270,6
56987874554,Liga otevřených mužů,Liga otevřených mužů,1034,1
1469427909957890,Reportér magazín,Reportér magazín,997,3
369282113213473,Zlin.eu,These ads ran without a disclaimer,915,1
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,886,3
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,689,1
52479821102,Týdeník Respekt,Týdeník Respekt,655,6
799083753454179,Voxpot,Voxpot z. ú.,626,6
315972808450196,ČSOB,ČSOB,621,1
214827221987263,Andrej Babiš,Andrej Babiš,591,2
693725074166331,Naše zdravotnictví,Naše zdravotnictví,589,2
495496033796328,Stanislav Blaha,Stanislav Blaha,567,8
280617905401953,Alexandra Udženija,Občanská demokratická strana,566,2
822146574595819,Agrární komora České republiky,Agrární komora České republiky,555,1
302134090396266,Zdeněk Hřib - náměstek pro dopravu,Česká pirátská strana - Praha,535,2
267751653384029,Pardubický kraj,Pardubický kraj,503,1
579215965436046,JSNS,JSNS,480,5
257529307701966,Jiří Pospíšil,TOP 09,468,3
317158175535179,BitLife,These ads ran without a disclaimer,468,4
107699964449797,Herohero,These ads ran without a disclaimer,459,1
101279652413889,SPOLU pro Prahu,SPOLU Praha,451,2
104087131747633,Zaostřeno,Zaostřeno,432,4
666837790092652,Město Bučovice /oficiální stránka/,These ads ran without a disclaimer,427,1
101983652354160,Jozef Síkela,Starostové a nezávislí,420,1
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,412,7
2324431914442679,bez Dodavatele,bezDodavatele a.s.,373,1
215661292342258,Praha - město pro život,Praha - město pro život,373,2
1797185020366096,Scale,Scale,371,1
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,323,7
551976351670874,Zdeněk Hraba,Zdeněk Hraba - senátor,312,5
275383259179951,Tepelná čerpadla IVT,Tepelná čerpadla IVT,311,4
447167062064041,Vladimíra Ludková,CORP Production s.r.o.,296,3
206273352289,ADRA CZ,"ADRA, o.p.s.",295,4
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",293,5
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",293,2
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,291,1
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,274,5
125830487980906,Solární asociace,Solární asociace,269,1
105994357680102,Avenberg.cz,These ads ran without a disclaimer,262,2
711658465662315,XTV,XTV,258,7
196259228711,PPL CZ,These ads ran without a disclaimer,245,1
321762510282,Michal Kučera,Michal Kučera,240,2
103567498863549,Ecoista,Ecoista,240,3
125453991470833,SEN 21 - politické hnutí,Senátor 21,234,2
178362315106,European Parliament,European Parliament,230,6
282765711734893,Piráti Moravskoslezský kraj,Piráti Moravskoslezský kraj,225,4
100843142503124,ZjistiVíc.cz,Zjisti víc,223,1
118339071290748,EuroToday,These ads ran without a disclaimer,211,2
108342850697974,Hejtman Josef Suchánek,Starostové a nezávislí • STAN,207,3
100713699374019,Richard Brabec,Richard Brabec,206,2
289075461571,TOP 09 - Středočeský kraj,TOP 09,205,2
1104866262972886,Michal Šmarda • Sociální demokracie,Česká strana sociálně demokratická,194,1
188866358684457,Fuchs2,Fuchs2,189,1
746526122074529,Rozhoduj o Plzni,Centrum pro komunitní práci západní Čechy,188,3
1956144064659620,BlueTV,Aliance pro budoucnost,188,3
60516116431,Člověk v tísni,These ads ran without a disclaimer,188,1
107563435940797,Skanska v ČR a SR,Skanska,174,5
460558621177512,Zálohujme.cz,Zálohujme,174,2
137778619615350,Voyo.cz,TV Nova s. r. o.,173,2
378827025796132,Peak.cz,Peak.cz,168,11
133030253410089,Jan Šafařík,Jan Šafařík,163,5
40583438943,NESEHNUTÍ,NESEHNUTÍ,163,1
1410403182565683,Petr Hladík,KDU-ČSL,161,4
108256752103532,Josef Soumar - místostarosta Písku,Josef Soumar - místostarosta Písku,161,2
102090718057736,Urban Developers and Investors,"Urban Developers and Investors, s.r.o.",161,1
1457454867817679,Kultura pod hvězdami,These ads ran without a disclaimer,160,1
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,160,3
745675252162748,Národní pedagogický institut ČR,Národní pedagogický institut ČR,147,4
111152388465014,Ivana Solařová - starostka města Znojma,Ivana Solařová - starostka města Znojma,145,4
201535993705342,Radim Sršeň,Radim Sršeň,145,2
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","TOMAN & PARTNEŘI advokátní kancelář, s.r.o.",144,2
2068226376787023,Piráti Praha 12,Česká pirátská strana,144,1
58864692622,Český rozhlas Vltava,Český rozhlas,142,1
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,139,1
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,135,2
385939388500265,Domácí péče Včelka,Domácí péče Včelka,134,3
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,132,2
284944781875,EURACTIV.cz,EURACTIV.cz,130,6
107023589104332,Anjila Thapa Chhetri,These ads ran without a disclaimer,126,2
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,123,1
106725941551702,Daniela Kovářová,Daniela Kovářová,120,1
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s. r. o.,117,4
