Location name,Amount spent (DKK)
Capital Region of Denmark,40927
Central Denmark Region,22036
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,9399
Region of Southern Denmark,20590
Unknown,≤100
Zealand Region,13083
