Location name,Amount spent (USD)
Alabama,8299
Alaska,6755
American Samoa,≤100
Arizona,31368
Arkansas,6965
California,74571
Colorado,16056
Connecticut,7511
Delaware,2250
Florida,64983
Georgia,24473
Guam,≤100
Hawaii,2760
Idaho,8603
Illinois,31690
Indiana,16489
Iowa,10277
Kansas,8087
Kentucky,11578
Louisiana,11274
Maine,7471
Maryland,16888
Massachusetts,12635
Michigan,43999
Minnesota,18067
Mississippi,6086
Missouri,16781
Montana,5988
Nebraska,6096
Nevada,10699
New Hampshire,4010
New Jersey,20671
New Mexico,9275
New York,68276
North Carolina,28251
North Dakota,1589
Northern Mariana Islands,≤100
Ohio,29733
Oklahoma,8855
Oregon,11690
Pennsylvania,45477
Puerto Rico,≤100
Rhode Island,1957
South Carolina,9800
South Dakota,2125
Tennessee,20221
Texas,76684
Unknown,≤100
Utah,6678
Vermont,1510
Virgin Islands (U.S.),≤100
Virginia,21946
Washington,18458
"Washington, District of Columbia",9956
West Virginia,10791
Wisconsin,33169
Wyoming,1706
