Location name,Amount spent (PYG)
Alto Paraguay Department,55240
Alto Paraná Department,705320
Amambay Department,30999
Asunción,412465
Boquerón department,51612
Caaguazú Department,279004
Caazapá Department,74176
Canindeyú Department,26719
Central Department,1015313
Concepción Department (Paraguay),28627
Cordillera Department,62408
Guairá Department,84485
Itapúa Department,303224
Misiones Department,27311
Paraguarí Department,32858
Presidente Hayes Department,112457
San Pedro Department,50098
Unknown,≤100
Ñeembucú Department,14647
