Location name,Amount spent (TRY)
Adana Province,510
Adıyaman Province,≤100
Afyonkarahisar Province,≤100
Aksaray Province,291
Amasya Province,≤100
Ankara Province,1647
Antalya Province,1888
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,321
Ağrı Province,≤100
Balıkesir Province,520
Bartın Province,≤100
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,729
Denizli Province,302
Diyarbakır Province,134
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,242
Gaziantep Province,329
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,325
Isparta Province,108
Istanbul Province,10029
Iğdır Province,≤100
Kahramanmaraş Province,135
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,648
Kilis Province,≤100
Kocaeli Province,293
Konya Province,347
Kütahya Province,106
Kırklareli Province,≤100
Kırıkkale Province,553
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,238
Mardin Province,≤100
Mersin Province,1347
Muğla Province,309
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,≤100
Osmaniye Province,≤100
Rize Province,≤100
Sakarya Province,≤100
Samsun Province,331
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,1034
Tokat Province,≤100
Trabzon Province,108
Tunceli Province,≤100
Unknown,≤100
Uşak Province,≤100
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,≤100
Çanakkale Province,120
Çankırı Province,≤100
Çorum Province,≤100
İzmir Province,3530
Şanlıurfa Province,162
Şırnak Province,≤100
