Location name,Amount spent (IDR)
Aceh,1655584
Bali,1495132
Bangka–Belitung Islands,508377
Banten,3847954
Bengkulu,668157
Central Java,15153144
Central Kalimantan,737720
Central Sulawesi,953141
East Java,12685154
East Kalimantan,1337844
East Nusa Tenggara,1291692
Gorontalo,813516
Jakarta,7331612
Jambi,1382947
Lampung,3266222
Maluku,1013425
North Kalimantan,458256
North Maluku,474788
North Sulawesi,1963461
North Sumatra,3726170
Papua (province),603020
Riau,2252974
Riau Islands Province,925658
South Kalimantan,1455564
South Sulawesi,3611490
South Sumatra,3147433
Southeast Sulawesi,629112
Special Region of Yogyakarta,1659531
Unknown,244585
West Java,14019481
West Kalimantan,1358783
West Nusa Tenggara,1171834
West Papua,418380
West Sulawesi,475258
West Sumatra,1883461
