Location name,Amount spent (HUF)
Baranya County,460012
Borsod-Abaúj-Zemplén County,748031
Budapest,2535213
Bács-Kiskun County,613204
Békés County,393552
Csongrád County,521965
Fejér County,502370
Győr-Moson-Sopron County,573353
Hajdú-Bihar County,648242
Heves County,348612
Jász-Nagykun-Szolnok County,448989
Komárom-Esztergom County,362740
Nógrád County,205168
Pest County,1424081
Somogy County,340151
Szabolcs-Szatmár-Bereg County,637657
Tolna County,263323
Unknown,330
Vas County,305026
Veszprém County,398827
Zala County,316509
