Location name,Amount spent (SEK)
Blekinge County,4164
Dalarna County,8274
Gotland County,2067
Gävleborg County,8920
Halland County,9115
Jämtland County,4245
Jönköping County,9759
Kalmar County,6420
Kronoberg County,4896
Norrbotten County,8481
Skåne County,42272
Stockholm County,76662
Södermanland County,8687
Unknown,≤100
Uppsala County,12447
Värmland County,7384
Västerbotten County,8537
Västernorrland County,8350
Västmanland County,8291
Västra Götaland County,59918
Örebro County,8661
Östergötland County,13561
