Location name,Amount spent (COP)
Amazonas,1231
Antioquia,8342320
Arauca,21913
Atlantico,1007811
Bolivar,510211
Boyaca,92826
Caldas,108847
Caqueta,54218
Casanare,69883
Cauca,219179
Cesar,136268
Choco,28376
Cordoba,221817
Cundinamarca,646025
Distrito Especial,11074703
Guainia,802
Guaviare,10783
Huila,230794
La Guajira,35335
Magdalena,578917
Meta,311062
Narino,121506
Norte de Santander,528052
Putumayo,55774
Quindio,94500
Risaralda,742326
San Andres y Providencia,6105
Santander,356039
Sucre,208859
Tolima,153224
Unknown,114
Valle del Cauca,2805909
Vaupes,326
Vichada,860
