Location name,Amount spent (MYR)
Johor,276
Kedah,209
Kelantan,106
Kuala Lumpur,417
Labuan,≤100
Malacca,≤100
Negeri Sembilan,129
Pahang,112
Penang,201
Perak,203
Perlis,≤100
Putrajaya,≤100
Sabah,167
Sarawak,145
Selangor,791
Terengganu,119
Unknown,≤100
