Location name,Amount spent (MXN)
Aguascalientes,12560
Baja California,50315
Baja California Sur,11714
Campeche,13413
Chiapas,44336
Chihuahua,33205
Coahuila de Zaragoza,27485
Colima,11665
Distrito Federal,192315
Durango,8626
Guanajuato,53317
Guerrero,18662
Hidalgo,14894
Jalisco,93119
Michoacán de Ocampo,49034
Morelos,31649
Nayarit,7294
Nuevo León,186708
Oaxaca,33477
Puebla,125553
Querétaro Arteaga,20054
Quintana Roo,62830
San Luis Potosi,23820
Sinaloa,17721
Sonora,29272
State of Mexico,84484
Tabasco,14928
Tamaulipas,29848
Tlaxcala,7541
Unknown,≤100
Veracruz,44147
Yucatán,49654
Zacatecas,9296
